Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,Output
1.05471,0.08412255,0.8459018,1.0666586,0.5394862,-0.31565225,0.1754648,0.6718529,0.8130026,-0.31883174,0.41870365,0.7131137,0.68529516,0.80415857,0.7736546,0.6047589,0.4321883,0.6200112,0.7936115,0.6528997,Doctor
1.1327566,0.08412255,0.6897077,1.2393734,0.6027755,-0.31565225,0.14791459,0.8600658,0.8023215,-0.31883174,0.42404157,0.6622652,0.5553632,0.80415857,0.7820532,0.48188317,0.45414644,0.6200112,0.7347768,0.55077916,Doctor
1.0014248,0.08412255,0.5693587,1.127686,0.5965261,-0.31565225,0.11386584,0.7469477,0.9692887,-0.31883174,0.42953786,0.7350548,0.556465,0.80415857,0.7933561,0.5954261,0.4362685,0.6200112,0.69400746,0.51757693,Doctor
0.8177337,0.08412255,0.10418968,1.0050086,0.5833461,-0.31565225,-0.012043442,0.63849664,1.0024911,-0.31883174,0.36392263,0.7533944,0.5159869,0.80415857,0.8317647,0.62621975,0.3591897,0.6200112,0.64940405,0.34611765,Doctor
0.3874452,0.08412255,0.09264401,0.64487183,0.62435675,-0.31565225,-0.11282778,0.40160495,0.942597,-0.31883174,0.18832819,0.67700297,0.5503103,0.80415857,0.83173,0.6577511,0.324234,0.6200112,0.70717186,0.33947846,Doctor
0.34739184,0.08412255,0.0087566795,0.6117434,0.5694001,-0.31565225,-0.17106569,0.37357438,0.9382604,-0.31883174,0.16354068,0.8522846,0.4608253,0.80415857,0.8418962,0.49527535,0.27860388,0.6200112,0.6835826,0.33285147,Doctor
0.6738766,0.08412255,0.18775642,0.6044275,0.59135866,-0.31565225,-0.17066129,0.2897723,0.67456114,-0.31883174,0.11993083,0.8530673,0.47030225,0.80415857,0.80821234,0.41029856,0.22710378,0.6200112,0.70259786,0.32421386,Doctor
0.6693046,0.08412255,0.5286943,0.67688954,0.46107608,-0.31565225,-0.12158394,0.28216264,0.6024786,-0.31883174,0.12074038,0.9349279,0.49816525,0.80415857,0.75866485,0.4405758,0.25323266,0.6200112,0.6327497,0.37411445,Doctor
0.73359865,0.08412255,0.6165037,0.70195377,0.65704584,-0.31565225,-0.12167749,0.5144772,0.784552,-0.31883174,0.15648688,1.1984943,0.54571176,0.80415857,0.7239803,0.544694,0.23317765,0.6200112,0.5620057,0.3350747,Doctor
0.8716925,0.08412255,0.50790006,0.8955986,0.6267424,-0.31565225,-0.29603973,0.6013978,0.85065895,-0.31883174,0.17169346,1.198894,0.57558215,0.80415857,0.67462194,0.5326771,0.15099666,0.6200112,0.5710446,0.34588423,Doctor
